"Select all keywords","Keyword","Intent","Relevance","Related %","Volume","Trend","Pot. Traffic","PKD %","KD %","CPC (USD)","Com.","SF","Results","Updated"
"calculate churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=calculate%20churn%20rate&db=us"",""calculate churn rate​"")","I","n/a","0","260","","n/a","n/a","41","1.73","0.29","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=calculate%20churn%20rate&db=us&serpId=b-g-97-0508-1509110181446087215"",""5"")","3.3M","1 month"
"churn rate definition","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20definition&db=us"",""churn rate definition​"")","I","n/a","0","260","","n/a","n/a","41","0.44","0.03","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20definition&db=us&serpId=b-h-97-0508-5998680893869654117"",""6"")","131","1 month"
"churn rate vs retention rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20vs%20retention%20rate&db=us"",""churn rate vs retention rate​"")","I - C","n/a","0","260","","n/a","n/a","16","1.98","0.16","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20vs%20retention%20rate&db=us&serpId=b-e-97-0423-17326401728795988035"",""7"")","7M","1 month"
"churn rates","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rates&db=us"",""churn rates​"")","I","n/a","0","260","","n/a","n/a","46","1.52","0.06","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rates&db=us&serpId=b-f-97-0524-12601221305370185665"",""8"")","135","1 month"
"customer churn rate meaning","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=customer%20churn%20rate%20meaning&db=us"",""customer churn rate meaning​"")","I","n/a","0","260","","n/a","n/a","42","0.27","0.03","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=customer%20churn%20rate%20meaning&db=us&serpId=b-f-97-0522-7553652088160768249"",""6"")","135","1 month"
"how do you calculate churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=how%20do%20you%20calculate%20churn%20rate&db=us"",""how do you calculate churn rate​"")","I","n/a","0","260","","n/a","n/a","32","1.26","0.24","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=how%20do%20you%20calculate%20churn%20rate&db=us&serpId=b-f-97-0508-3777112660545088940"",""7"")","3.2M","1 month"
"what are churn rates","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=what%20are%20churn%20rates&db=us"",""what are churn rates​"")","I","n/a","0","260","","n/a","n/a","44","0.32","0.03","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=what%20are%20churn%20rates&db=us&serpId=b-f-97-0527-14944501275113936630"",""7"")","127","4 weeks"
"churn rate calculator","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20calculator&db=us"",""churn rate calculator​"")","I","n/a","0","210","","n/a","n/a","29","1.72","0.19","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20calculator&db=us&serpId=b-e-97-0527-8639832221861450966"",""4"")","116","4 weeks"
"churn rate saas","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20saas&db=us"",""churn rate saas​"")","I","n/a","0","210","","n/a","n/a","30","4.16","0.18","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20saas&db=us&serpId=b-f-97-0430-6194666999599333963"",""5"")","2.6M","1 month"
"revenue churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=revenue%20churn%20rate&db=us"",""revenue churn rate​"")","I","n/a","0","210","","n/a","n/a","27","1.40","0.05","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=revenue%20churn%20rate&db=us&serpId=b-f-97-0505-7827234146639602993"",""6"")","137","1 month"
"shopify current churn rate 2025","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=shopify%20current%20churn%20rate%202025&db=us"",""shopify current churn rate 2025​"")","I","n/a","0","210","","n/a","n/a","20","0.00","0.00","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=shopify%20current%20churn%20rate%202025&db=us&serpId=b-f-97-0519-13492651728738558889"",""3"")","142","1 month"
"churn rate calculation formula","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20calculation%20formula&db=us"",""churn rate calculation formula​"")","I","n/a","0","170","","n/a","n/a","39","1.41","0.15","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20calculation%20formula&db=us&serpId=b-e-97-0521-10292477388849297018"",""8"")","134","1 month"
"formula for churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=formula%20for%20churn%20rate&db=us"",""formula for churn rate​"")","I","n/a","0","170","","n/a","n/a","47","1.41","0.15","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=formula%20for%20churn%20rate&db=us&serpId=b-g-97-0521-5357260816948897993"",""7"")","135","1 month"
"how to calculate the churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=how%20to%20calculate%20the%20churn%20rate&db=us"",""how to calculate the churn rate​"")","I","n/a","0","170","","n/a","n/a","39","1.26","0.24","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=how%20to%20calculate%20the%20churn%20rate&db=us&serpId=b-d-97-0428-11659518590043003320"",""8"")","3.1M","1 month"
"saas churn rate benchmark","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=saas%20churn%20rate%20benchmark&db=us"",""saas churn rate benchmark​"")","I","n/a","0","170","","n/a","n/a","34","9.81","0.48","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=saas%20churn%20rate%20benchmark&db=us&serpId=b-g-97-0524-15094551904156608656"",""6"")","121","1 month"
"average churn rate for subscription services","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=average%20churn%20rate%20for%20subscription%20services&db=us"",""average churn rate for subscription services​"")","I","n/a","0","140","","n/a","n/a","24","4.28","0.37","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=average%20churn%20rate%20for%20subscription%20services&db=us&serpId=b-d-97-0424-8037711241375398177"",""6"")","8.2M","1 month"
"big three automotive employee churn rate comparison sectors","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=big%20three%20automotive%20employee%20churn%20rate%20comparison%20sectors&db=us"",""big three automotive employee churn rate comparison sectors​"")","I - C","n/a","0","140","","n/a","n/a","20","0.00","0.00","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=big%20three%20automotive%20employee%20churn%20rate%20comparison%20sectors&db=us&serpId=b-h-97-0523-8507856092101217938"",""4"")","225M","1 month"
"calculating churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=calculating%20churn%20rate&db=us"",""calculating churn rate​"")","I","n/a","0","140","","n/a","n/a","37","1.60","0.12","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=calculating%20churn%20rate&db=us&serpId=b-h-97-0601-18188002599173373939"",""8"")","136","3 weeks"
"client churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=client%20churn%20rate&db=us"",""client churn rate​"")","I","n/a","0","140","","n/a","n/a","48","3.20","0.10","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=client%20churn%20rate&db=us&serpId=b-h-97-0521-2824791263512228762"",""6"")","135","1 month"
"customer churn rate formula","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=customer%20churn%20rate%20formula&db=us"",""customer churn rate formula​"")","I","n/a","0","140","","n/a","n/a","44","2.65","0.21","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=customer%20churn%20rate%20formula&db=us&serpId=b-h-97-0424-11007916926126204182"",""6"")","137","1 month"
"customer retention rate vs churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=customer%20retention%20rate%20vs%20churn%20rate&db=us"",""customer retention rate vs churn rate​"")","I - C","n/a","0","140","","n/a","n/a","17","0.00","0.33","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=customer%20retention%20rate%20vs%20churn%20rate&db=us&serpId=b-g-97-0504-3213027931842429027"",""5"")","7M","1 month"
"netflix churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=netflix%20churn%20rate&db=us"",""netflix churn rate​"")","I","n/a","0","140","","n/a","n/a","17","0.00","0.00","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=netflix%20churn%20rate&db=us&serpId=b-e-97-0515-8226485879897834308"",""5"")","103","1 month"
"saas average churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=saas%20average%20churn%20rate&db=us"",""saas average churn rate​"")","I","n/a","0","140","","n/a","n/a","32","4.55","0.12","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=saas%20average%20churn%20rate&db=us&serpId=b-g-97-0521-16363848519795079562"",""5"")","132","1 month"
"saas churn rate benchmarks","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=saas%20churn%20rate%20benchmarks&db=us"",""saas churn rate benchmarks​"")","I","n/a","0","140","","n/a","n/a","30","9.81","0.48","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=saas%20churn%20rate%20benchmarks&db=us&serpId=b-g-97-0518-2648085743384805017"",""5"")","131","1 month"
"shopify churn rate 2026","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=shopify%20churn%20rate%202026&db=us"",""shopify churn rate 2026​"")","n/a","n/a","0","140","","n/a","n/a","n/a","0.00","0.00","n/a","n/a","For metrics, refresh"
"what is a good churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=what%20is%20a%20good%20churn%20rate&db=us"",""what is a good churn rate​"")","I","n/a","0","140","","n/a","n/a","33","3.18","0.07","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=what%20is%20a%20good%20churn%20rate&db=us&serpId=b-d-97-0425-4542047807260450895"",""7"")","23.8M","1 month"
"average churn rate by industry","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=average%20churn%20rate%20by%20industry&db=us"",""average churn rate by industry​"")","I","n/a","0","110","","n/a","n/a","30","5.24","0.32","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=average%20churn%20rate%20by%20industry&db=us&serpId=b-g-97-0419-15663858276611971557"",""5"")","6.7M","1 month"
"average saas churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=average%20saas%20churn%20rate&db=us"",""average saas churn rate​"")","I","n/a","0","110","","n/a","n/a","28","4.55","0.12","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=average%20saas%20churn%20rate&db=us&serpId=b-h-97-0514-17718767012094093575"",""6"")","1.1M","1 month"
"churn rate in ecommerce","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20in%20ecommerce&db=us"",""churn rate in ecommerce​"")","I","n/a","0","110","","n/a","n/a","27","0.00","0.14","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20in%20ecommerce&db=us&serpId=b-h-97-0523-12855670542014102286"",""6"")","136","1 month"
"churn rate marketing","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20marketing&db=us"",""churn rate marketing​"")","I","n/a","0","110","","n/a","n/a","52","0.00","0.02","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20marketing&db=us&serpId=b-e-97-0530-12256230775283856889"",""6"")","126","3 weeks"
"churn rate prediction","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20prediction&db=us"",""churn rate prediction​"")","I","n/a","0","110","","n/a","n/a","40","4.42","0.24","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20prediction&db=us&serpId=b-h-97-0511-17087103252525890731"",""8"")","133","1 month"
"customer churn rate calculation","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=customer%20churn%20rate%20calculation&db=us"",""customer churn rate calculation​"")","I","n/a","0","110","","n/a","n/a","29","2.65","0.21","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=customer%20churn%20rate%20calculation&db=us&serpId=b-e-97-0429-13927171651902963690"",""6"")","1.4M","1 month"
"enterprise saas churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=enterprise%20saas%20churn%20rate&db=us"",""enterprise saas churn rate​"")","I","n/a","0","110","","n/a","n/a","22","0.00","0.33","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=enterprise%20saas%20churn%20rate&db=us&serpId=b-f-97-0604-12944000417931330866"",""4"")","105","3 weeks"
"meaning of churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=meaning%20of%20churn%20rate&db=us"",""meaning of churn rate​"")","I","n/a","0","110","","n/a","n/a","45","0.44","0.03","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=meaning%20of%20churn%20rate&db=us&serpId=b-f-97-0510-496037197415091757"",""6"")","7.8M","1 month"
"monthly churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=monthly%20churn%20rate&db=us"",""monthly churn rate​"")","I","n/a","0","110","","n/a","n/a","32","1.68","0.05","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=monthly%20churn%20rate&db=us&serpId=b-f-97-0523-14877672455740210438"",""9"")","127","1 month"
"saas churn rates","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=saas%20churn%20rates&db=us"",""saas churn rates​"")","I","n/a","0","110","","n/a","n/a","22","4.16","0.18","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=saas%20churn%20rates&db=us&serpId=b-h-97-0505-10866449858514710181"",""5"")","3.7M","1 month"
"subscription churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=subscription%20churn%20rate&db=us"",""subscription churn rate​"")","I","n/a","0","110","","n/a","n/a","24","3.92","0.11","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=subscription%20churn%20rate&db=us&serpId=b-f-97-0527-9915264843112785082"",""7"")","131","4 weeks"
"average churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=average%20churn%20rate&db=us"",""average churn rate​"")","I","n/a","0","90","","n/a","n/a","39","0.00","0.06","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=average%20churn%20rate&db=us&serpId=b-f-97-0511-12187121706143747572"",""6"")","11.3M","1 month"
"average churn rate saas","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=average%20churn%20rate%20saas&db=us"",""average churn rate saas​"")","I","n/a","0","90","","n/a","n/a","17","4.55","0.12","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=average%20churn%20rate%20saas&db=us&serpId=b-e-97-0504-16600681359993815567"",""5"")","135","1 month"
"churn rate netflix","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=churn%20rate%20netflix&db=us"",""churn rate netflix​"")","I","n/a","0","90","","n/a","n/a","6","0.00","0.00","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=churn%20rate%20netflix&db=us&serpId=b-d-97-0426-13739947784076810057"",""5"")","1.2M","1 month"
"forecasting churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=forecasting%20churn%20rate&db=us"",""forecasting churn rate​"")","I","n/a","0","90","","n/a","n/a","34","0.00","0.00","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=forecasting%20churn%20rate&db=us&serpId=b-f-97-0504-1547791962125027582"",""6"")","7.5M","1 month"
"how to calculate churn rate saas","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=how%20to%20calculate%20churn%20rate%20saas&db=us"",""how to calculate churn rate saas​"")","I","n/a","0","90","","n/a","n/a","20","0.00","0.24","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=how%20to%20calculate%20churn%20rate%20saas&db=us&serpId=b-g-97-0516-17743032570238847344"",""6"")","163","1 month"
"how to calculate customer churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=how%20to%20calculate%20customer%20churn%20rate&db=us"",""how to calculate customer churn rate​"")","I","n/a","0","90","","n/a","n/a","35","1.40","0.23","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=how%20to%20calculate%20customer%20churn%20rate&db=us&serpId=b-e-97-0505-16404447900938553725"",""5"")","3.6M","1 month"
"negative churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=negative%20churn%20rate&db=us"",""negative churn rate​"")","I","n/a","0","90","","n/a","n/a","10","0.00","0.00","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=negative%20churn%20rate&db=us&serpId=b-f-97-0429-16875026547092779376"",""7"")","5.1M","1 month"
"subscriber churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=subscriber%20churn%20rate&db=us"",""subscriber churn rate​"")","I","n/a","0","90","","n/a","n/a","48","3.92","0.11","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=subscriber%20churn%20rate&db=us&serpId=b-h-97-0521-17183281250926993028"",""7"")","135","1 month"
"user churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=user%20churn%20rate&db=us"",""user churn rate​"")","I","n/a","0","90","","n/a","n/a","52","5.01","0.03","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=user%20churn%20rate&db=us&serpId=b-h-97-0521-2055394236107223928"",""7"")","133","1 month"
"what does churn rate mean","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=what%20does%20churn%20rate%20mean&db=us"",""what does churn rate mean​"")","I","n/a","0","90","","n/a","n/a","43","0.53","0.10","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=what%20does%20churn%20rate%20mean&db=us&serpId=b-h-97-0525-586831838305103920"",""6"")","157","1 month"
"what is churn rate in saas","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=what%20is%20churn%20rate%20in%20saas&db=us"",""what is churn rate in saas​"")","I","n/a","0","90","","n/a","n/a","24","0.00","0.02","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=what%20is%20churn%20rate%20in%20saas&db=us&serpId=b-h-97-0603-12882651525386521243"",""5"")","167","3 weeks"
"what is the churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=what%20is%20the%20churn%20rate&db=us"",""what is the churn rate​"")","I","n/a","0","90","","n/a","n/a","57","0.32","0.03","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=what%20is%20the%20churn%20rate&db=us&serpId=b-h-97-0415-2443436797178373020"",""6"")","23.8M","1 month"
"app churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=app%20churn%20rate&db=us"",""app churn rate​"")","I","n/a","0","70","","n/a","n/a","28","0.00","0.03","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/serp/?phrase=app%20churn%20rate&db=us&serpId=b-h-97-0529-3883709596549262002"",""7"")","126","4 weeks"
"at&t wireless churn rate","=HYPERLINK(""https://smrs.toolsfrog.com/analytics/keywordoverview/?q=at%26t%20wireless%20churn%20rate&db=us"",""at&t wireless churn rate​"")","n/a","n/a","0","70","","n/a","n/a","n/a","0.00","0.33","n/a","n/a","For metrics, refresh"
